sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
SC_GMWOF5428847	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00710	male			Colombian		America 
NA18998	female	SAME124891	JPT	Japanese	EAS	East Asian Ancestry
SC_GMWOF5428816	male		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00715	male			Cambodian		East Asia 
NA19004	male	SAME124473	JPT	Japanese	EAS	East Asian Ancestry
SC_GMWOF5428842	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00727	male			Palestinian		Middle East 
NA19009	male	SAME125133	JPT	Japanese	EAS	East Asian Ancestry
SC_GMWOF5428866	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00734	male			Palestinian		Middle East 
NA19011	female	SAME124512	JPT	Japanese	EAS	East Asian Ancestry
SC_GMWOF5428811	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00739	female			Palestinian		Middle East 
NA19213	male	SAME125384	YRI	Yoruba	AFR	African Ancestry
SC_GMWOF5428835	male		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00741	female			Palestinian		Middle East 
NA19225	female	SAME125218	YRI	Yoruba	AFR	African Ancestry
SC_GMWOF5428873	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00746	female			Palestinian		Middle East 
NA19237	female	SAME125000	YRI	Yoruba	AFR	African Ancestry
SC_GMMAN5482178	male		GWD	Gambian Mandinka	AFR	African Ancestry
HGDP00753	male			Japanese		East Asia 
NA19249	male	SAME123682	YRI	Yoruba	AFR	African Ancestry
SC_GMMAN5482250	male		GWD	Gambian Mandinka	AFR	African Ancestry
HGDP00758	male			Japanese		East Asia 
NA19256	male	SAME124707	YRI	Yoruba	AFR	African Ancestry
SC_GMWOF5428715	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00760	female			Japanese		East Asia 
NA19307	male	SAME124981	LWK	Luhya	AFR	African Ancestry
SC_GMWOF5428739	female		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00765	female			Japanese		East Asia 
NA19314	female	SAME123309	LWK	Luhya	AFR	African Ancestry
SC_GMWOF5428708	male		GWW	Gambian Wolof	AFR	African Ancestry
HGDP00664	female			Bougainville		Oceania 
NA19319	male	SAME123438	LWK	Luhya	AFR	African Ancestry
HGDP00464	male			Biaka		Africa 
HGDP00669	female			Sardinian		Europe 
NA19321	female	SAME124569	LWK	Luhya	AFR	African Ancestry
HGDP00469	male			Biaka		Africa 
HGDP00671	male			Sardinian		Europe 
NA19338	female	SAME123274	LWK	Luhya	AFR	African Ancestry
HGDP00471	female			Mbuti		Africa 
HGDP00676	male			Palestinian		Middle East 
NA19713	female	SAME124448	ASW	African Ancestry SW	AFR	African Ancestry
HGDP00490	male			Bougainville		Oceania 
HGDP00602	male			Druze		Middle East 
